date,hometeam,awayteam,homegoals,awaygoals,ghost
2020-01-24,Dortmund,FC Koln,5,1,0
2020-01-25,Ein Frankfurt,RB Leipzig,2,0,0
2020-01-25,Freiburg,Paderborn,0,2,0
2020-01-25,M'gladbach,Mainz,3,1,0
2020-01-25,Union Berlin,Augsburg,2,0,0
2020-01-25,Wolfsburg,Hertha,1,2,0
2020-01-25,Bayern Munich,Schalke 04,5,0,0
2020-01-26,Werder Bremen,Hoffenheim,0,3,0
2020-01-26,Leverkusen,Fortuna Dusseldorf,3,0,0
2020-01-31,Hertha,Schalke 04,0,0,0
2020-02-01,Augsburg,Werder Bremen,2,1,0
2020-02-01,Dortmund,Union Berlin,5,0,0
2020-02-01,Fortuna Dusseldorf,Ein Frankfurt,1,1,0
2020-02-01,Hoffenheim,Leverkusen,2,1,0
2020-02-01,Mainz,Bayern Munich,1,3,0
2020-02-01,RB Leipzig,M'gladbach,2,2,0
2020-02-02,FC Koln,Freiburg,4,0,0
2020-02-02,Paderborn,Wolfsburg,2,4,0
2020-02-07,Ein Frankfurt,Augsburg,5,0,0
2020-02-08,Freiburg,Hoffenheim,1,0,0
2020-02-08,Hertha,Mainz,1,3,0
2020-02-08,Schalke 04,Paderborn,1,1,0
2020-02-08,Werder Bremen,Union Berlin,0,2,0
2020-02-08,Wolfsburg,Fortuna Dusseldorf,1,1,0
2020-02-08,Leverkusen,Dortmund,4,3,0
2020-02-09,Bayern Munich,RB Leipzig,0,0,0
2020-02-14,Dortmund,Ein Frankfurt,4,0,0
2020-02-15,Union Berlin,Leverkusen,2,3,0
2020-02-15,Fortuna Dusseldorf,M'gladbach,1,4,0
2020-02-15,RB Leipzig,Werder Bremen,3,0,0
2020-02-15,Augsburg,Freiburg,1,1,0
2020-02-15,Hoffenheim,Wolfsburg,2,3,0
2020-02-15,Paderborn,Hertha,1,2,0
2020-02-16,FC Koln,Bayern Munich,1,4,0
2020-02-16,Mainz,Schalke 04,0,0,0
2020-02-21,Bayern Munich,Paderborn,3,2,0
2020-02-22,Freiburg,Fortuna Dusseldorf,0,2,0
2020-02-22,Hertha,FC Koln,0,5,0
2020-02-22,M'gladbach,Hoffenheim,1,1,0
2020-02-22,Werder Bremen,Dortmund,0,2,0
2020-02-22,Schalke 04,RB Leipzig,0,5,0
2020-02-23,Leverkusen,Augsburg,2,0,0
2020-02-23,Wolfsburg,Mainz,4,0,0
2020-02-24,Ein Frankfurt,Union Berlin,1,2,0
2020-02-28,Fortuna Dusseldorf,Hertha,3,3,0
2020-02-29,FC Koln,Schalke 04,3,0,0
2020-02-29,Mainz,Paderborn,2,0,0
2020-02-29,Dortmund,Freiburg,1,0,0
2020-02-29,Augsburg,M'gladbach,2,3,0
2020-02-29,Hoffenheim,Bayern Munich,0,6,0
2020-03-01,Union Berlin,Wolfsburg,2,2,0
2020-03-01,RB Leipzig,Leverkusen,1,1,0
2020-03-06,Paderborn,FC Koln,1,2,0
2020-03-07,Freiburg,Union Berlin,3,1,0
2020-03-07,Hertha,Werder Bremen,2,2,0
2020-03-07,Leverkusen,Ein Frankfurt,4,0,0
2020-03-07,Schalke 04,Hoffenheim,1,1,0
2020-03-07,Wolfsburg,RB Leipzig,0,0,0
2020-03-07,M'gladbach,Dortmund,1,2,0
2020-03-08,Mainz,Fortuna Dusseldorf,1,1,0
2020-03-08,Bayern Munich,Augsburg,2,0,0
2020-03-11,M'gladbach,FC Koln,2,1,0
2020-05-16,RB Leipzig,Freiburg,1,1,1
2020-05-16,Ein Frankfurt,M'gladbach,1,3,1
2020-05-16,Hoffenheim,Hertha,0,3,1
2020-05-16,Dortmund,Schalke 04,4,0,1
2020-05-16,Augsburg,Wolfsburg,1,2,1
2020-05-16,Fortuna Dusseldorf,Paderborn,0,0,1
2020-05-17,FC Koln,Mainz,2,2,1
2020-05-17,Union Berlin,Bayern Munich,0,2,1
2020-05-18,Werder Bremen,Leverkusen,1,4,1
2020-05-22,Hertha,Union Berlin,4,0,1
2020-05-23,Wolfsburg,Dortmund,0,2,1
2020-05-23,Freiburg,Werder Bremen,0,1,1
2020-05-23,M'gladbach,Leverkusen,1,3,1
2020-05-23,Paderborn,Hoffenheim,1,1,1
2020-05-23,Bayern Munich,Ein Frankfurt,5,2,1
2020-05-24,Schalke 04,Augsburg,0,3,1
